product_line,assembly,k8s_task_ids,legacy_task_ids,enabled
AGT,Bayonne Unit 1,25383353,25318116,no
AGT,Dolphin EGC1,25383355,25318305,no
AGT,BSP - Champion 7 Avon 2,25383358,25383357,no
AGT,Rankin Unit 1,25383359,25318503,no
IST,C5900,25343762,25318687,yes
IST,C5900,25343763,25318688,no
MGT,BD000064U01 Altamira,25383360,25319450,no
MGT,BD000034U01 PWCP GT1,25383366,25383362,no
MGT,BD000551U01 Lujan de Cuyo,25329269,25319266,no
MGT,BD000250U01 Loudon Cogen,25383368,25319064,no
MGT,B043560 Solnova 3,25383369,25318880,no
SGT,NA0366/01,25383370,25319744,no
SGT,NA0353/02,25383372,25320188,no
SGT,BD000885U01,25383379,25383376,no
TCP,27KA-HC-Electric Motor STC-SV,25383383,25320823,no
RCE,7HF763B Vesta,25383386,25383385,no
Test,test,,,no
